Test Group,Rack,host  IP,idrac ip,Model,Service tag,Hostname,sys_gen,Form,Slot,bios version,cpu_name,cpu family,memory,backplane,boss card info,perc info,perc version
,B4,,10.148.78.247,R6525,BM8QS13,WIN-BB0JRJQE39B,15G,,4,2.11.3,AMD EPYC 7262,Rome,DDR4 DIMM,3.04,BOSS-S1,PERC H745 Front,2.5.13.3024
,B4,,10.148.78.251,R6515,16BGS13,CVE-DELL-3-20,15G,,8,2.5.5,AMD EPYC 7262,Rome,DDR4 DIMM,4.35,BOSS-S1,PERC H730P Mini,2.5.13.3024
ESS-DR,B4,,10.148.78.249,R960,15L7K44,,16G,,16,1.9.6,Intel Xeon Gold 6416H,Sapphire Rapids,DDR5 DIMM,1.75,BOSS-N1 Monolithic,,
,B7,,10.148.80.242,R7525,F4288B3,CVE-DELL-6-15,15G,,24,2.5.6,AMD EPYC 7272,Rome,DDR4 DIMM,,BOSS-S1,,
,B7,,10.148.80.247,R6525,1MQNZC3,MINWINPC,15G,,10,2.13.3,AMD EPYC 7542,Rome,DDR4 DIMM,7.1,,,
,B7,,10.148.80.246,R6525,1MPTZC3,,15G,,10,2.13.3,AMD EPYC 7542,Rome,DDR4 DIMM,7.1,,,
,B7,,10.148.80.249,R6525,1MPWZC3,WIN-LL5GITOKQJH,15G,,10,2.12.4,AMD EPYC 7542,Rome,DDR4 DIMM,3.48,BOSS-N1 Modular,,
ESS-DR,B7,,10.148.80.243,R7525,F41G8B3,CVE-DELL-6-14,15G,,24,2.5.6,AMD EPYC 7272,Rome,DDR4 DIMM,3.57,BOSS-S1,,
,B7,,10.148.80.245,R7525,G8YN8B3,WIN-CN0BJUQJT40,15G,,24,2.14.1,AMD EPYC 7272,Rome,DDR4 DIMM,3.04,BOSS-S1,,
,B7,,10.148.80.244,R7525,F42C8B3,CVE-DELL-6-13,15G,,24,2.5.6,AMD EPYC 7272,Rome,DDR4 DIMM,3.57,BOSS-S1,,
,B7,,10.148.80.251,R6525,1MPYZC3,WIN-T2S2ECKA0LI,15G,,10,2.11.3,AMD EPYC 7542,Rome,DDR4 DIMM,3.72,BOSS-N1 Monolithic,,
,B7,,10.148.80.250,R6525,1MPXZC3,cve-dell-6-7.micron.com,15G,,10,2.12.4,AMD EPYC 7542,Rome,DDR4 DIMM,7.1,,,
,B7,,10.148.80.248,R6525,1MPVZC3,,15G,,10,2.16.2,AMD EPYC 7542,Rome,DDR4 DIMM,7.1,,,
,B7,,10.148.80.252,R7525,FD3PZC3,WIN-RQKAJPCJRNK,15G,,12,2.18.1,AMD EPYC 7272,Rome,DDR4 DIMM,,,,
,B8,,10.148.81.236,R6525,F1QLH13,fmwssdtherm01,15G,,10,2.2.5,AMD EPYC 7402,Rome,DDR4 DIMM,7.1,BOSS-N1 (Monolithic),PERC H345 Front,1.0.13.1048
,B8,,10.148.81.233,R740XD,1556DS2,CVE-DELL-7-15,14G,,24,2.11.2,Intel Xeon Gold 6144,Skylake,DDR4 DIMM,4.27,BOSS-S1,,
,B8,,10.148.81.240,R7425,2V9VCP2,cve-dell-7-10,14G,,0,1.15.0,AMD EPYC 7251,Naples,DDR4 DIMM,,,,
,B8,,10.148.81.241,R7425,2V9SCP2,CVE-DELL-7-9,14G,,24,1.25.0,AMD EPYC 7251,Naples,DDR4 DIMM,4.35,,,
,B8,,10.148.81.242,R7415,2V0TCP2,CVE-DELL-6-1,14G,,24,1.15.0,AMD EPYC 7251,Naples,DDR4 DIMM,2.4,,PERC H740P Mini,
,B8,,10.148.81.243,R6515,169QH13,cve-dell-7-6,15G,,10,2.12.4,AMD EPYC 7262,Rome,DDR4 DIMM,4.35,,PERC H740P Mini,
,B8,,10.148.81.246,R740XD,F042CM2,cve-dell-7-4,14G,,24,2.24.0,Intel Xeon Gold 5118,Skylake,DDR4 DIMM,4.35,BOSS-S1,,
,B8,,10.148.81.239,R6415,GR95DP2,MININT-R0IH9MT,14G,,10,1.12.2,AMD EPYC 7251,Naples,DDR4 DIMM,4.35,,PERC H740P Mini,
,B8,,10.148.81.245,R640,GCYL7M2,WIN-01BE45MEO9E,14G,,10,2.20.1,Intel Xeon Gold 5115,Skylake,DDR4 DIMM,2.52,,PERC H740P Mini,
,B8,,10.148.81.244,R7515,5MLMH13,cve-dell-7-5,15G,,0,2.0.3,AMD EPYC 7262,Rome,DDR4 DIMM,2.52,,PERC H740P Mini,
,B8,,10.148.81.247,R640,GCYK7M2,WIN-E7I9UURPBIE,14G,,10,2.20.1,Intel Xeon Gold 5115,Skylake,DDR4 DIMM,2.52,,PERC H740P Mini,
RCI,B9,,10.148.82.241,R7615,3FT8704,B9S17-DEL-WIN25,16G,,24,1.8.3,AMD EPYC 9124,Genoa,DDR5 DIMM,3.32,BOSS-N1 Monolithic,,
RCI/ESS-Hybrid,B9,,10.148.82.252,R6625,GD8DH04,WIN-2ACM8U7L8S4,16G,E3.S,14,1.10.6,AMD EPYC 9224,Genoa,DDR5 DIMM,7.1,BOSS-N1 Monolithic,,
,B9,,10.148.82.248,R7615,9W54X04,,16G,,8,1.6.10,AMD EPYC 9224,Genoa,DDR5 DIMM,1.75,BOSS-N1 Monolithic,,
BVT(tmp),B9,,10.148.82.250,R760,DP8DH04,,16G,,16,2.6.5,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,1.75,BOSS-N1 Monolithic,,
,B9,,10.148.82.244,R7425,2V1SCP2,,14G,,8,1.10.6,AMD EPYC 7251,Naples,DDR4 DIMM,4.32,,PERC H740P Adapter,
,B9,,10.148.82.242,R7425,2V1WCP2,CVE-DELL-8-7,14G,,32,1.13.4,AMD EPYC 7251,Naples,DDR4 DIMM,2.46,,PERC H730P Adapter,
,B9,,10.148.82.236,R7425,2V1QCP2,,14G,,0,1.10.6,AMD EPYC 7251,Naples,DDR4 DIMM,,,,
